tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,extra,mta_tax,improvement_surcharge,total_amount,congestion_surcharge,trip_duration,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
2024-10-27 00:33:03,2024-10-27 00:38:48,1.0,0.97,186,249,7.9,1.0,0.5,1.0,14.84,2.5,345.0,40.748497181405014,-73.9924375369761,40.73457600733173,-74.00287495910837
2024-10-27 00:33:18,2024-10-27 01:06:11,2.0,3.25,186,238,30.3,1.0,0.5,1.0,42.36,2.5,1973.0,40.748497181405014,-73.9924375369761,40.79170493442707,-73.97304890061592
2024-10-27 00:34:54,2024-10-27 01:01:40,1.0,4.0,186,263,26.1,1.0,0.5,1.0,37.32,2.5,1606.0,40.748497181405014,-73.9924375369761,40.77876585543438,-73.951009874818
2024-10-27 00:34:55,2024-10-27 00:48:34,1.0,2.1,186,142,14.2,1.0,0.5,1.0,23.04,2.5,819.0,40.748497181405014,-73.9924375369761,40.77363329302708,-73.98153220639182
2024-10-27 00:35:42,2024-10-27 00:46:23,1.0,1.65,186,224,18.82,0.0,0.5,1.0,22.82,2.5,641.0,40.748497181405014,-73.9924375369761,40.73182063601678,-73.97659767323344
2024-10-27 00:36:08,2024-10-27 00:46:40,1.0,1.7,186,246,12.1,1.0,0.5,1.0,20.52,2.5,632.0,40.748497181405014,-73.9924375369761,40.753309065983466,-74.00401512528673
2024-10-27 00:36:38,2024-10-27 00:41:52,1.0,0.29,186,100,6.5,1.0,0.5,1.0,13.0,2.5,314.0,40.748497181405014,-73.9924375369761,40.75351275872571,-73.9887865991153
2024-10-27 00:36:58,2024-10-27 00:43:05,1.0,1.16,186,234,7.9,1.0,0.5,1.0,12.9,2.5,367.0,40.748497181405014,-73.9924375369761,40.74033744175701,-73.99045782354736
2024-10-27 00:37:28,2024-10-27 01:04:10,1.0,5.15,186,151,29.6,1.0,0.5,1.0,41.52,2.5,1602.0,40.748497181405014,-73.9924375369761,40.79796199310006,-73.96816833309242
2024-10-27 00:37:36,2024-10-27 01:14:05,4.0,13.6,186,10,55.5,3.5,0.5,1.0,67.44,2.5,2189.0,40.748497181405014,-73.9924375369761,40.678953310115254,-73.79098635986959
2024-10-27 00:38:15,2024-10-27 00:49:08,1.0,0.84,186,48,10.7,1.0,0.5,1.0,19.62,2.5,653.0,40.748497181405014,-73.9924375369761,40.76225275531935,-73.98984464313298
2024-10-27 00:39:27,2024-10-27 00:47:20,1.0,1.4,186,249,9.3,1.0,0.5,1.0,16.3,2.5,473.0,40.748497181405014,-73.9924375369761,40.73457600733173,-74.00287495910837
2024-10-27 00:39:30,2024-10-27 01:21:46,1.0,6.23,186,223,40.1,1.0,0.5,1.0,54.12,2.5,2536.0,40.748497181405014,-73.9924375369761,40.777426920532754,-73.9054077340983
2024-10-27 00:39:43,2024-10-27 00:50:45,1.0,1.7,186,142,12.1,1.0,0.5,1.0,20.52,2.5,662.0,40.748497181405014,-73.9924375369761,40.77363329302708,-73.98153220639182
2024-10-27 00:40:50,2024-10-27 01:22:32,1.0,8.1,186,61,43.6,1.0,0.5,1.0,58.32,2.5,2502.0,40.748497181405014,-73.9924375369761,40.67446941826645,-73.93928705867957
2024-10-27 00:40:59,2024-10-27 00:58:11,1.0,2.08,186,50,17.0,1.0,0.5,1.0,23.0,2.5,1032.0,40.748497181405014,-73.9924375369761,40.76623772504185,-73.99513522075515
2024-10-27 00:41:12,2024-10-27 00:52:44,1.0,1.53,186,246,12.1,1.0,0.5,1.0,17.1,2.5,692.0,40.748497181405014,-73.9924375369761,40.753309065983466,-74.00401512528673
2024-10-27 00:41:19,2024-10-27 01:00:46,1.0,2.3,186,144,18.4,1.0,0.5,1.0,25.4,2.5,1167.0,40.748497181405014,-73.9924375369761,40.72088889344528,-73.99691854183824
2024-10-27 00:42:01,2024-10-27 01:17:46,1.0,6.64,186,25,38.0,1.0,0.5,1.0,51.6,2.5,2145.0,40.748497181405014,-73.9924375369761,40.6856337413206,-73.98611382213656
2024-10-27 00:43:13,2024-10-27 01:00:39,2.0,2.29,186,143,17.0,1.0,0.5,1.0,26.4,2.5,1046.0,40.748497181405014,-73.9924375369761,40.77596522876101,-73.98764554944397
2024-10-27 00:43:19,2024-10-27 00:58:26,1.0,2.64,186,236,16.3,1.0,0.5,1.0,23.3,2.5,907.0,40.748497181405014,-73.9924375369761,40.780436437189955,-73.95701169835736
2024-10-27 00:43:21,2024-10-27 01:17:12,1.0,8.07,186,49,40.1,1.0,0.5,1.0,54.12,2.5,2031.0,40.748497181405014,-73.9924375369761,40.68796745714745,-73.9623635381836
2024-10-27 00:43:30,2024-10-27 01:16:38,4.0,7.21,186,97,37.3,1.0,0.5,1.0,50.76,2.5,1988.0,40.748497181405014,-73.9924375369761,40.69078679421089,-73.97488208618893
2024-10-27 00:44:13,2024-10-27 01:13:16,1.0,9.33,186,95,42.2,1.0,0.5,1.0,64.97,2.5,1743.0,40.748497181405014,-73.9924375369761,40.72143227502132,-73.84766941187516
2024-10-27 00:44:37,2024-10-27 01:07:39,1.0,4.04,186,146,25.4,1.0,0.5,1.0,36.48,2.5,1382.0,40.748497181405014,-73.9924375369761,40.754242520500306,-73.93482888929141
2024-10-27 00:45:03,2024-10-27 00:50:30,2.0,1.09,186,249,7.9,1.0,0.5,1.0,15.48,2.5,327.0,40.748497181405014,-73.9924375369761,40.73457600733173,-74.00287495910837
2024-10-27 00:45:37,2024-10-27 00:49:24,1.0,0.87,186,90,6.5,1.0,0.5,1.0,13.8,2.5,227.0,40.748497181405014,-73.9924375369761,40.74227862901229,-73.99697141558367
2024-10-27 00:46:08,2024-10-27 01:06:54,1.0,4.4,186,75,25.05,0.0,0.5,1.0,29.05,2.5,1246.0,40.748497181405014,-73.9924375369761,40.7900107514954,-73.94575026755157
2024-10-27 00:46:45,2024-10-27 00:51:32,1.0,0.99,186,68,7.2,1.0,0.5,1.0,14.64,2.5,287.0,40.748497181405014,-73.9924375369761,40.74842755506573,-73.99991742024713
2024-10-27 00:47:28,2024-10-27 01:48:10,2.0,6.86,186,225,51.3,1.0,0.5,1.0,73.19,2.5,3642.0,40.748497181405014,-73.9924375369761,40.68816818695491,-73.93188826440705
2024-10-27 00:47:29,2024-10-27 01:01:38,1.0,2.13,186,144,24.16,0.0,0.5,1.0,28.16,2.5,849.0,40.748497181405014,-73.9924375369761,40.72088889344528,-73.99691854183824
2024-10-27 00:49:04,2024-10-27 01:04:37,1.0,2.92,186,141,17.0,1.0,0.5,1.0,26.4,2.5,933.0,40.748497181405014,-73.9924375369761,40.76694821638321,-73.95963474149167
2024-10-27 00:49:45,2024-10-27 01:18:01,1.0,3.3,186,237,25.4,1.0,0.5,1.0,33.4,2.5,1696.0,40.748497181405014,-73.9924375369761,40.76861518381157,-73.96563453538069
2024-10-27 00:50:24,2024-10-27 01:10:29,1.0,3.69,186,263,21.9,1.0,0.5,1.0,28.9,2.5,1205.0,40.748497181405014,-73.9924375369761,40.77876585543438,-73.951009874818
2024-10-27 00:51:38,2024-10-27 01:12:46,1.0,2.86,186,48,21.2,1.0,0.5,1.0,31.44,2.5,1268.0,40.748497181405014,-73.9924375369761,40.76225275531935,-73.98984464313298
2024-10-27 00:51:55,2024-10-27 00:54:19,2.0,0.46,186,90,4.4,1.0,0.5,1.0,11.4,2.5,144.0,40.748497181405014,-73.9924375369761,40.74227862901229,-73.99697141558367
